time_open,symbol,side,volume,price,sl,tp,order_id,deal_id,magic,comment
2025-09-08 23:30:05,GOLD#,BUY,0.02,3641.37,3639.86,3644.36,1457179673,1427010040,246810,Scalp SL150 TP300
2025-09-08 23:30:05,GOLD#,BUY,0.02,3641.42,3639.87,3642.98,1457179677,1427010043,246810,Scalp SL150 TP161
2025-09-08 23:30:06,GOLD#,BUY,0.02,3641.46,3639.95,3644.45,1457179681,1427010047,246810,Scalp SL150 TP300
2025-09-08 23:31:41,GOLD#,BUY,0.02,3641.43,3639.92,3642.81,1457180141,1427010481,246810,Scalp SL150 TP139
2025-09-08 23:31:41,GOLD#,BUY,0.02,3641.41,3639.87,3644.37,1457180136,1427010476,246810,Scalp SL150 TP300
2025-09-08 23:34:11,GOLD#,SELL,0.02,3640.16,3641.54,3639.04,1457180963,1427011267,246810,Scalp SL150 TP100
2025-09-08 23:34:11,GOLD#,SELL,0.02,3640.01,3641.53,3638.08,1457180962,1427011266,246810,Scalp SL150 TP195
2025-09-08 23:34:54,GOLD#,SELL,0.02,3640.16,3641.65,3637.81,1457181103,1427011399,246810,Scalp SL150 TP234
2025-09-08 23:34:54,GOLD#,SELL,0.02,3640.16,3641.66,3639.16,1457181104,1427011400,246810,Scalp SL150 TP100
2025-09-08 23:34:54,GOLD#,SELL,0.02,3639.99,3641.66,3637.16,1457181106,1427011402,246810,Scalp SL150 TP300
2025-09-08 23:44:42,GOLD#,BUY,0.02,3639.69,3638.19,3642.69,1457185430,1427015496,246810,Scalp SL150 TP300
2025-09-08 23:44:42,GOLD#,BUY,0.02,3639.68,3638.19,3640.69,1457185434,1427015500,246810,Scalp SL150 TP100
2025-09-08 23:44:42,GOLD#,BUY,0.02,3639.69,3638.18,3642.14,1457185425,1427015492,246810,Scalp SL150 TP246
2025-09-08 23:45:59,GOLD#,SELL,0.02,3639.75,3641.25,3638.42,1457186430,1427016465,246810,Scalp SL150 TP133
2025-09-08 23:45:59,GOLD#,SELL,0.02,3639.75,3641.25,3638.75,1457186427,1427016463,246810,Scalp SL150 TP100
2025-09-08 23:45:59,GOLD#,SELL,0.02,3639.75,3641.25,3636.75,1457186426,1427016462,246810,Scalp SL150 TP300
2025-09-08 23:54:22,GOLD#,SELL,0.02,3640.29,3641.79,3639.29,1457188840,1427018718,246810,Scalp SL150 TP100
2025-09-08 23:54:22,GOLD#,SELL,0.02,3640.29,3641.79,3637.29,1457188839,1427018717,246810,Scalp SL150 TP300
2025-09-09 00:00:42,GOLD#,BUY,0.02,3641.26,3639.76,3643.33,1457190605,1427020271,246810,Scalp SL150 TP207
2025-09-09 00:00:42,GOLD#,BUY,0.02,3641.21,3639.73,3644.23,1457190607,1427020273,246810,Scalp SL150 TP300
2025-09-09 00:00:42,GOLD#,BUY,0.02,3641.26,3639.78,3644.28,1457190602,1427020269,246810,Scalp SL150 TP300
2025-09-09 00:24:12,GOLD#,BUY,0.02,3635.56,3634.06,3638.56,1457202085,1427029236,246810,Scalp SL150 TP300
2025-09-09 00:24:12,GOLD#,BUY,0.02,3635.56,3634.06,3636.56,1457202086,1427029237,246810,Scalp SL150 TP100
2025-09-09 00:24:12,GOLD#,BUY,0.02,3635.56,3634.1,3636.93,1457202084,1427029235,246810,Scalp SL150 TP133
2025-09-09 00:25:02,GOLD#,BUY,0.02,3635.53,3634.03,3638.53,1457202409,1427029340,246810,Scalp SL150 TP300
2025-09-09 00:32:42,GOLD#,BUY,0.02,3635.6,3633.99,3636.49,1457205897,1427031939,246810,Scalp SL150 TP100
2025-09-09 00:32:43,GOLD#,BUY,0.02,3635.62,3634.12,3638.62,1457205902,1427031943,246810,Scalp SL150 TP300
2025-09-09 00:32:43,GOLD#,BUY,0.02,3635.62,3634.1,3637.6,1457205898,1427031940,246810,Scalp SL150 TP200
2025-09-09 00:43:00,GOLD#,BUY,0.02,3636.02,3634.3,3637.29,1457208528,1427033593,246810,Scalp SL150 TP149
2025-09-09 00:47:28,GOLD#,BUY,0.02,3634.77,3633.27,3636.54,1457210134,1427034762,246810,Scalp SL150 TP177
2025-09-09 00:47:30,GOLD#,BUY,0.02,3634.77,3633.27,3637.77,1457210139,1427034766,246810,Scalp SL150 TP300
2025-09-09 00:47:30,GOLD#,BUY,0.02,3634.77,3633.27,3637.77,1457210137,1427034764,246810,Scalp SL150 TP300
2025-09-09 00:48:25,GOLD#,BUY,0.02,3634.77,3633.27,3637.77,1457210341,1427034872,246810,Scalp SL150 TP300
2025-09-09 00:48:25,GOLD#,BUY,0.02,3634.77,3633.27,3637.06,1457210338,1427034870,246810,Scalp SL150 TP229
2025-09-09 01:04:20,GOLD#,BUY,0.02,3633.19,3631.72,3636.22,1457217723,1427040989,246810,Scalp SL150 TP300
2025-09-09 01:06:42,GOLD#,BUY,0.02,3633.03,3631.56,3636.0,1457218704,1427041950,246810,Scalp SL150 TP294
2025-09-09 01:06:44,GOLD#,BUY,0.02,3633.1,3631.59,3634.73,1457218723,1427041969,246810,Scalp SL150 TP164

2025-09-09 01:07:12,GOLD#,BUY,0.02,3633.4,3631.91,3635.83,1457218824,1427042069,246810,Scalp SL150 TP242
2025-09-09 01:10:20,GOLD#,SELL,0.02,3634.66,3636.16,3633.37,1457220024,1427043195,246810,Scalp SL150 TP129
2025-09-09 01:15:13,GOLD#,SELL,0.02,3633.01,3634.5,3631.85,1457221833,1427044912,246810,Scalp SL150 TP115
2025-09-09 01:15:13,GOLD#,SELL,0.02,3633.01,3634.51,3632.01,1457221837,1427044916,246810,Scalp SL150 TP100
2025-09-09 01:15:13,GOLD#,SELL,0.02,3633.02,3634.51,3630.01,1457221838,1427044917,246810,Scalp SL150 TP300
2025-09-09 01:15:48,GOLD#,SELL,0.02,3633.27,3634.74,3630.24,1457222342,1427045410,246810,Scalp SL150 TP300
2025-09-09 01:15:59,GOLD#,SELL,0.02,3633.18,3634.72,3630.76,1457222390,1427045457,246810,Scalp SL150 TP246
2025-09-09 01:19:08,GOLD#,BUY,0.02,3634.47,3633.0,3635.5,1457223523,1427046605,246810,Scalp SL150 TP100
2025-09-09 01:19:12,GOLD#,BUY,0.02,3634.58,3633.07,3637.57,1457223548,1427046629,246810,Scalp SL150 TP300
2025-09-09 01:19:13,GOLD#,BUY,0.02,3634.56,3633.06,3637.34,1457223551,1427046632,246810,Scalp SL150 TP278
2025-09-09 01:21:21,GOLD#,BUY,0.02,3634.73,3633.23,3635.73,1457224305,1427047333,246810,Scalp SL150 TP100
2025-09-09 01:30:30,GOLD#,BUY,0.02,3633.71,3632.22,3634.73,1457226433,1427049285,246810,Scalp SL150 TP101
2025-09-09 01:34:02,GOLD#,BUY,0.02,3633.57,3632.03,3636.53,1457227104,1427049941,246810,Scalp SL150 TP300
2025-09-09 01:34:02,GOLD#,BUY,0.02,3633.53,3632.05,3634.82,1457227099,1427049937,246810,Scalp SL150 TP127
2025-09-09 01:34:02,GOLD#,BUY,0.02,3633.57,3632.07,3634.73,1457227106,1427049943,246810,Scalp SL150 TP116
2025-09-09 01:41:08,GOLD#,BUY,0.02,3633.46,3631.95,3636.45,1457228422,1427051143,246810,Scalp SL150 TP300
2025-09-09 01:41:08,GOLD#,BUY,0.02,3633.47,3631.96,3635.93,1457228425,1427051145,246810,Scalp SL150 TP247
2025-09-09 01:41:08,GOLD#,BUY,0.02,3633.53,3631.96,3634.46,1457228426,1427051146,246810,Scalp SL150 TP100
2025-09-09 01:42:32,GOLD#,SELL,0.02,3634.04,3635.54,3631.04,1457228559,1427051265,246810,Scalp SL150 TP300
2025-09-09 01:42:32,GOLD#,SELL,0.02,3634.04,3635.54,3632.93,1457228560,1427051266,246810,Scalp SL150 TP111
2025-09-09 01:45:06,GOLD#,BUY,0.02,3634.87,3633.38,3635.88,1457229069,1427051755,246810,Scalp SL150 TP100
2025-09-09 01:47:49,GOLD#,SELL,0.02,3634.92,3636.4,3633.9,1457229672,1427052313,246810,Scalp SL150 TP100
2025-09-09 01:47:49,GOLD#,SELL,0.02,3634.89,3636.4,3631.9,1457229673,1427052314,246810,Scalp SL150 TP300
2025-09-09 02:02:50,GOLD#,SELL,0.02,3636.32,3637.79,3633.29,1457234255,1427056675,246810,Scalp SL150 TP300
2025-09-09 02:03:10,GOLD#,SELL,0.02,3636.3,3637.8,3634.68,1457234396,1427056814,246810,Scalp SL150 TP162
2025-09-09 02:03:10,GOLD#,SELL,0.02,3636.35,3637.83,3635.33,1457234400,1427056818,246810,Scalp SL150 TP100
2025-09-09 02:03:20,GOLD#,SELL,0.02,3635.99,3637.49,3632.99,1457234448,1427056864,246810,Scalp SL150 TP300
2025-09-09 02:03:40,GOLD#,SELL,0.02,3635.86,3637.36,3633.51,1457234558,1427056970,246810,Scalp SL150 TP235
2025-09-09 02:07:42,GOLD#,SELL,0.02,3635.91,3637.47,3633.48,1457236151,1427058476,246810,Scalp SL150 TP249
2025-09-09 02:07:42,GOLD#,SELL,0.02,3635.93,3637.41,3634.91,1457236156,1427058480,246810,Scalp SL150 TP100
2025-09-09 02:07:42,GOLD#,SELL,0.02,3635.91,3637.41,3632.91,1457236158,1427058482,246810,Scalp SL150 TP300
2025-09-09 02:20:49,GOLD#,BUY,0.02,3633.98,3632.48,3636.98,1457238897,1427061110,246810,Scalp SL150 TP300
